Bodenrichtwertnummer,Ortsteil,Bodenrichtwert,Stichtag des Bodenrichtwerts,Entwicklungszustand,Art der Nutzung,Ergänzung zur Art der Nutzung,Wertrelevante Geschossflächenzahl,Bemerkungen,Bodenrichtwertzonenname,Koordinaten (formatiert),X-Koordinate,Y-Koordinate,Höhe (Z-Koordinate),EPSG-Code
9101052,Heilbronn,11.5,01.01.23,LF,WG,,,ohne Steilhanglagen,"Weinberg S,W,O","517.726,983 / 5.444.733,755 (EPSG: 25832)",517726983,5444733755,,25832
9101081,Heilbronn,26,01.01.23,SF,FGA,,,,"FGA, Wartberg, Kälberweg","517.724,824 / 5.444.489,709 (EPSG: 25832)",517724824,5444489709,,25832
9101011,Heilbronn,9.5,01.01.23,LF,A,,,,Acker,"516.813,428 / 5.445.278,001 (EPSG: 25832)",516813428,5445278001,,25832
9101170,Heilbronn,800,01.01.23,B,WA,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Im Breitenloch/ Kübelstraße/ Krämerstraß,"517.258,968 / 5.444.308,273 (EPSG: 25832)",517258968,5444308273,,25832
9101991,Heilbronn,60,01.01.23,B,G,ASB,,,Gewerbe außen,"517.002,146 / 5.444.840,962 (EPSG: 25832)",517002146,5444840962,,25832
9100044,Heilbronn,1180,01.01.23,B,MK,,3.00,Geschäftslagenklasse IIb,GeLa IIb Am Kieselmarkt/ Falkenstraße,"516.019,904 / 5.443.328,666 (EPSG: 25832)",516019904,5443328666,,25832
9100033,Heilbronn,1600,01.01.23,B,MK,,3.00,Geschäftslagenklasse IIa,GeLa IIa Kilianstraße,"516.043,547 / 5.443.150,467 (EPSG: 25832)",516043547,5443150467,,25832
9101452,Heilbronn,1020,01.01.23,B,M,MFH,2.70,Geschosswohnungsbau,Neckarbogen,"515.246,256 / 5.443.770,727 (EPSG: 25832)",515246256,5443770727,,25832
9101454,Heilbronn,460,01.01.23,E,WA,MFH,2.70,Geschosswohnungsbau,Neckarbogen,"515.120,394 / 5.443.927,653 (EPSG: 25832)",515120394,5443927653,,25832
9100042,Heilbronn,1180,01.01.23,B,MK,,3.00,Geschäftslagenklasse IIb,GeLa IIb Kramstraße/ Kirchbrunnenstraße,"515.844,819 / 5.443.215,746 (EPSG: 25832)",515844819,5443215746,,25832
9101923,Heilbronn,205,01.01.23,B,G,,,,"Gewerbegebiet, Füger-str., Weipertstraße","515.624,873 / 5.444.055,092 (EPSG: 25832)",515624873,5444055092,,25832
9101930,Heilbronn,140,01.01.23,B,GI,,,Industriegebiet,"Industriegebiet Kanalhafen/ Hafenstraße,","515.175,817 / 5.445.088,811 (EPSG: 25832)",515175817,5445088811,,25832
9103110,Sontheim,720,01.01.23,B,WA,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Südl.Staufenbergstraße/ Sommerau/ Hofwie,"514.457,948 / 5.440.509,496 (EPSG: 25832)",514457948,5440509496,,25832
9148100,Horkheim,670,01.01.23,B,WA,,0.80,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Heilbronner Weg bis Wagenburgerstraße,"512.786,847 / 5.440.239,032 (EPSG: 25832)",512786847,5440239032,,25832
9103140,Sontheim,520,01.01.23,B,MI,,1.00,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 400 m², Doppelhaushälften: 200 m², Reihenmittelhäuser: 200 m²",Ortskern,"513.840,473 / 5.440.600,110 (EPSG: 25832)",513840473,5440600110,,25832
9148120,Horkheim,510,01.01.23,B,WA,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Hohenloher Straße bis Amsterdamer Straße,"512.692,979 / 5.440.482,083 (EPSG: 25832)",512692979,5440482083,,25832
9125032,Böckingen,3.6,01.01.23,SF,PG,,,Grünland mit Bäumen (Streuobst),Private Grünfläche südl.Ludwigsburgerstr,"513.454,801 / 5.441.306,413 (EPSG: 25832)",513454801,5441306413,,25832
9125076,Böckingen,35,01.01.23,SF,KGA,,,,KGA,"513.947,456 / 5.441.309,048 (EPSG: 25832)",513947456,5441309048,,25832
9125079,Böckingen,20,01.01.23,SF,FGA,,,,FGA,"513.152,954 / 5.441.758,904 (EPSG: 25832)",513152954,5441758904,,25832
9125077,Böckingen,35,01.01.23,SF,KGA,,,,KGA,"513.024,125 / 5.441.159,412 (EPSG: 25832)",513024125,5441159412,,25832
9103917,Sontheim,8,01.01.23,SF,AB,STN,,,"STN, Steinbruch","513.290,950 / 5.439.280,901 (EPSG: 25832)",513290950,5439280901,,25832
9125193,Böckingen,150,01.01.23,B,W,ASB,,,Wohnen außen,"513.677,146 / 5.441.440,962 (EPSG: 25832)",513677146,5441440962,,25832
9103150,Sontheim,560,01.01.23,B,WA,,0.80,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Westl. der Lutzstraße/ Lauffener Straße,"513.458,122 / 5.440.481,669 (EPSG: 25832)",513458122,5440481669,,25832
9148110,Horkheim,530,01.01.23,B,WA,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Talheimer Straße bis Kelterweg,"512.442,821 / 5.440.158,636 (EPSG: 25832)",512442821,5440158636,,25832
9125942,Böckingen,60,01.01.23,B,G,ASB,,,Gewerbe außen,"513.677,146 / 5.441.360,962 (EPSG: 25832)",513677146,5441360962,,25832
9103912,Sontheim,60,01.01.23,B,GE,,,,"Gewerbegebiet, Neckartalstraße","513.219,348 / 5.440.683,710 (EPSG: 25832)",513219348,5440683710,,25832
9125022,Böckingen,1.8,01.01.23,LF,GR,,,"Grünland, Wiese",Grünland südl. Ludwigsburger Str.,"512.802,146 / 5.440.980,962 (EPSG: 25832)",512802146,5440980962,,25832
9125012,Böckingen,4.2,01.01.23,LF,A,,,,Acker südl. Ludwigsburger Str.,"512.802,146 / 5.441.060,962 (EPSG: 25832)",512802146,5441060962,,25832
9126150,Klingenberg,150,01.01.23,B,W,ASB,,,Wohnen Außen,"510.285,447 / 5.440.800,559 (EPSG: 25832)",510285447,5440800559,,25832
9103170,Sontheim,620,01.01.23,R,WA,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Klingenäcker,"513.748,351 / 5.440.355,090 (EPSG: 25832)",513748351,5440355090,,25832
9125034,Böckingen,3.6,01.01.23,SF,PG,,,Grünland mit Bäumen (Streuobst),Private Grünfläche nörd.Ludwigsburgerstr,"512.674,971 / 5.441.608,188 (EPSG: 25832)",512674971,5441608188,,25832
9125191,Böckingen,150,01.01.23,B,W,ASB,,,Wohnen außen,"511.927,146 / 5.441.980,962 (EPSG: 25832)",511927146,5441980962,,25832
9125110,Böckingen,630,01.01.23,B,WA,,0.60,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Im Jockele/ Kappelfeldle/ Jäckleinstraße,"513.529,139 / 5.441.823,551 (EPSG: 25832)",513529139,5441823551,,25832
9125131,Böckingen,720,01.01.23,B,WA,MFH,1.00,Geschosswohnungsbau,Lortzingstraße/ Fritz-Ulrich- Str./ Romb,"513.747,473 / 5.442.367,553 (EPSG: 25832)",513747473,5442367553,,25832
9125120,Böckingen,650,01.01.23,B,WA,,0.60,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Längelter-/ Riegrafstr./ Eduard-Hilger-S,"513.752,022 / 5.442.849,582 (EPSG: 25832)",513752022,5442849582,,25832
9125100,Böckingen,790,01.01.23,B,WA,,0.60,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Wasserturm/ Eduard-Bader-Straße,"513.594,405 / 5.442.238,675 (EPSG: 25832)",513594405,5442238675,,25832
9125154,Böckingen,640,01.01.23,B,WA,,0.80,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²","Grünewaldstr, Landwehrstr","513.974,051 / 5.443.484,559 (EPSG: 25832)",513974051,5443484559,,25832
9125192,Böckingen,205,01.01.23,B,W,ASB,,,Wohnen außen,"513.832,146 / 5.444.070,962 (EPSG: 25832)",513832146,5444070962,,25832
9137173,Frankenbach,160,01.01.23,B,W,ASB,,,W außen nördl. Bereich,"510.674,185 / 5.445.004,777 (EPSG: 25832)",510674185,5445004777,,25832
9137903,Frankenbach,60,01.01.23,B,G,ASB,,,G außen nördl. Gebiet,"510.670,337 / 5.444.873,916 (EPSG: 25832)",510670337,5444873916,,25832
9137170,Frankenbach,160,01.01.23,B,W,ASB,,,W außen südl. Gebiet neu,"512.597,048 / 5.444.666,342 (EPSG: 25832)",512597048,5444666342,,25832
9137900,Frankenbach,60,01.01.23,B,G,ASB,,,G außen südl. Gebiet neu,"512.600,065 / 5.444.555,761 (EPSG: 25832)",512600065,5444555761,,25832
9137072,Frankenbach,16,01.01.23,SF,FGA,,,,FGA südl. Gebiet neu,"512.271,523 / 5.444.188,889 (EPSG: 25832)",512271523,5444188889,,25832
9137031,Frankenbach,3.6,01.01.23,SF,PG,,,Grünland mit Bäumen ( Streuobstwiese),Baumwiese südl.,"512.274,261 / 5.444.246,384 (EPSG: 25832)",512274261,5444246384,,25832
9137075,Frankenbach,1,01.01.23,B,G,ASB,,Kein Bodenrichtwert festgesetzt,Gewerbe Außen Motocrossanlage,"511.813,080 / 5.444.547,273 (EPSG: 25832)",511813080,5444547273,,25832
9137021,Frankenbach,1.6,01.01.23,LF,GR,,,"Grünland, Wiese",Wiese,"512.274,261 / 5.444.328,519 (EPSG: 25832)",512274261,5444328519,,25832
9137013,Frankenbach,4,01.01.23,LF,A,,,,Acker südl. Gebiet neu,"512.285,213 / 5.444.407,917 (EPSG: 25832)",512285213,5444407917,,25832
9137010,Frankenbach,3.3,01.01.23,LF,A,,,,Acker nördlich,"511.407,693 / 5.446.184,879 (EPSG: 25832)",511407693,5446184879,,25832
9137024,Frankenbach,1.6,01.01.23,LF,GR,,,,Wiese nördl. Bereich,"511.454,475 / 5.444.637,162 (EPSG: 25832)",511454475,5444637162,,25832
9137042,Frankenbach,0.6,01.01.23,LF,F,,,ohne Aufwuchs,Forst südl. Fläche neu,"511.590,924 / 5.444.266,801 (EPSG: 25832)",511590924,5444266801,,25832
9137076,Frankenbach,16,01.01.23,SF,FGA,,,,FGA nördl. Gebiet,"511.750,763 / 5.445.358,390 (EPSG: 25832)",511750763,5445358390,,25832
9137041,Frankenbach,0.6,01.01.23,LF,F,,,ohne Aufwuchs,Forst nördl. Gebiet,"509.863,874 / 5.446.446,081 (EPSG: 25832)",509863874,5446446081,,25832
9137034,Frankenbach,3.6,01.01.23,SF,PG,,,,Baumwiese nördl. Gebiet,"511.228,360 / 5.444.446,134 (EPSG: 25832)",511228360,5444446134,,25832
9126070,Klingenberg,16,01.01.23,SF,FGA,,,,Garten/Erholungsfläche,"510.598,613 / 5.440.677,017 (EPSG: 25832)",510598613,5440677017,,25832
9125051,Böckingen,8.5,01.01.23,LF,WG,,,ohne Steilhanglagen,Weinberg,"512.425,215 / 5.441.375,656 (EPSG: 25832)",512425215,5441375656,,25832
9125023,Böckingen,1.8,01.01.23,LF,GR,,,"Grünland, Wiese",Wiese nördl. Ludwigsburger Str.,"512.252,146 / 5.442.120,962 (EPSG: 25832)",512252146,5442120962,,25832
9125013,Böckingen,4.2,01.01.23,LF,A,,,,Acker nördl. Ludwigsburger Str.,"512.252,146 / 5.442.180,962 (EPSG: 25832)",512252146,5442180962,,25832
9126130,Klingenberg,320,01.01.23,B,MI,,0.80,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 400 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²","Ortskern, Leingartener Str./ Im Bruch","511.178,441 / 5.440.765,708 (EPSG: 25832)",511178441,5440765708,,25832
9148910,Horkheim,150,01.01.23,B,GE,,,Gewerbegebiet,Amsterdamer Straße,"512.531,991 / 5.440.616,241 (EPSG: 25832)",512531991,5440616241,,25832
9126930,Klingenberg,60,01.01.23,B,G,ASB,,,GE Außen,"510.279,701 / 5.440.883,878 (EPSG: 25832)",510279701,5440883878,,25832
9101370,Heilbronn,550,01.01.23,B,MI,,1.50,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Westlich der Weststraße bis Wacksstraße,"515.043,650 / 5.443.131,980 (EPSG: 25832)",515043650,5443131980,,25832
9125190,Böckingen,470,01.01.23,B,MI,,0.80,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Heckenstraße/ Schafberg/ südl. Eduard-Hi,"513.662,975 / 5.442.596,986 (EPSG: 25832)",513662975,5442596986,,25832
9125940,Böckingen,60,01.01.23,B,G,ASB,,,Gewerbe außen,"511.927,146 / 5.441.910,962 (EPSG: 25832)",511927146,5441910962,,25832
9103911,Sontheim,345,01.01.23,B,SO,,,Gewerbe mit großflächigem Handel (>800m² Verkaufsfläche),"Gewerbegebiet, Kreuzäckerstr./Heinrich-H","514.852,146 / 5.441.500,962 (EPSG: 25832)",514852146,5441500962,,25832
9126030,Klingenberg,3.4,01.01.23,SF,PG,,,Grünland mit Bäumen (Streuobst),Baumwiese,"512.190,297 / 5.441.153,948 (EPSG: 25832)",512190297,5441153948,,25832
9126050,Klingenberg,9.5,01.01.23,LF,WG,,,ohne Steilhanglagen,Weinberg,"511.630,047 / 5.440.892,498 (EPSG: 25832)",511630047,5440892498,,25832
9126010,Klingenberg,4,01.01.23,LF,A,,,,Acker,"510.618,724 / 5.440.878,132 (EPSG: 25832)",510618724,5440878132,,25832
9126020,Klingenberg,1.8,01.01.23,LF,GR,,,"Grünland, Wiese",Wiese,"511.184,720 / 5.440.065,052 (EPSG: 25832)",511184720,5440065052,,25832
9125250,Böckingen,370,01.01.23,B,WA,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²","Nördlich der Ludwigsburger Str.,Ortsausg","513.448,440 / 5.441.519,969 (EPSG: 25832)",513448440,5441519969,,25832
9125031,Böckingen,3.6,01.01.23,SF,PG,,,Grünland mit Bäumen (Streuobst),Private Grünfläche Vorderer Kreuzgrund,"514.002,146 / 5.443.970,962 (EPSG: 25832)",514002146,5443970962,,25832
9125021,Böckingen,1.8,01.01.23,LF,GR,,,"Grünland, Wiese",Wiese Vorderer Kreuzgrund,"514.002,146 / 5.444.030,962 (EPSG: 25832)",514002146,5444030962,,25832
9125011,Böckingen,4.2,01.01.23,LF,A,,,,Acker Vorderer Kreuzgrund,"514.002,146 / 5.444.100,962 (EPSG: 25832)",514002146,5444100962,,25832
9125074,Böckingen,20,01.01.23,SF,FGA,,,,FGA lärmbelastet,"514.002,146 / 5.443.910,962 (EPSG: 25832)",514002146,5443910962,,25832
9102960,Neckargartach,105,01.01.23,B,SO,MED,,,Klinikum am Gesundbrunnen,"513.928,471 / 5.444.555,652 (EPSG: 25832)",513928471,5444555652,,25832
9125922,Böckingen,175,01.01.23,B,GE,,,Gewerbegebiet,Böckingen Nord,"514.493,724 / 5.443.833,858 (EPSG: 25832)",514493724,5443833858,,25832
9125923,Böckingen,350,01.01.23,B,SO,,,Gewerbe mit großflächigem Einzelhandel (>800 m² Verkaufsfläche),Böckingen Nord,"514.388,588 / 5.444.255,508 (EPSG: 25832)",514388588,5444255508,,25832
9125941,Böckingen,60,01.01.23,B,G,ASB,,,Gewerbe außen,"513.832,146 / 5.443.980,962 (EPSG: 25832)",513832146,5443980962,,25832
9102190,Neckargartach,290,01.01.23,B,MI,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²","Böckinger Straße, ab Neckarhalle entlang","514.863,048 / 5.445.611,933 (EPSG: 25832)",514863048,5445611933,,25832
9102210,Neckargartach,860,01.01.23,B,WA,MFH,2.80,Geschosswohnungsbau,Manfred-Weinmann Ring,"514.229,350 / 5.444.596,177 (EPSG: 25832)",514229350,5444596177,,25832
9125170,Böckingen,520,01.01.23,B,MI,,1.00,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 400 m², Doppelhaushälften: 200 m², Reihenmittelhäuser: 200 m²","Ortskern, nördlich Schuchmannstr.","514.019,111 / 5.442.616,312 (EPSG: 25832)",514019111,5442616312,,25832
9125280,Böckingen,360,01.01.23,B,MI,,0.60,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Großgartacher Straße/ Blumenstraße,"512.979,740 / 5.443.105,218 (EPSG: 25832)",512979740,5443105218,,25832
9125160,Böckingen,450,01.01.23,B,MI,,1.30,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 400 m², Doppelhaushälften: 200 m², Reihenmittelhäuser: 200 m²",Wilhelm-Leuschner-Straße,"514.226,474 / 5.443.232,644 (EPSG: 25832)",514226474,5443232644,,25832
9125180,Böckingen,500,01.01.23,B,MI,,1.00,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 400 m², Doppelhaushälften: 200 m², Reihenmittelhäuser: 200 m²","Ortskern, südlich Schuchmannstr./ Eisenb","513.914,845 / 5.442.032,550 (EPSG: 25832)",513914845,5442032550,,25832
9125072,Böckingen,9,01.01.23,SF,FGA,,,,FGA lärmbelastet,"513.058,455 / 5.443.056,990 (EPSG: 25832)",513058455,5443056990,,25832
9125078,Böckingen,35,01.01.23,SF,KGA,,,,KGA,"514.425,578 / 5.442.340,416 (EPSG: 25832)",514425578,5442340416,,25832
9125140,Böckingen,650,01.01.23,B,WR,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Schanz/ Schollenhalde,"513.279,021 / 5.443.493,150 (EPSG: 25832)",513279021,5443493150,,25832
9126110,Klingenberg,510,01.01.23,B,WA,,0.80,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Wittumhalde/ Schlüsseläcker,"511.043,143 / 5.441.039,258 (EPSG: 25832)",511043143,5441039258,,25832
9126100,Klingenberg,440,01.01.23,B,WA,,0.60,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Neipperger Höhe,"511.024,874 / 5.440.631,911 (EPSG: 25832)",511024874,5440631911,,25832
9148150,Horkheim,640,01.01.23,B,WA,,0.30,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Bei dem Schloss,"512.052,146 / 5.440.300,962 (EPSG: 25832)",512052146,5440300962,,25832
9148140,Horkheim,640,01.01.23,B,WA,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²","Hossäcker, Albert-Debold-Straße","512.216,103 / 5.440.089,309 (EPSG: 25832)",512216103,5440089309,,25832
9148130,Horkheim,490,01.01.23,B,MI,,0.80,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 400 m², Doppelhaushälften: 200 m², Reihenmittelhäuser: 200 m²",Ortskern,"512.247,467 / 5.440.398,918 (EPSG: 25832)",512247467,5440398918,,25832
9101420,Heilbronn,770,01.01.23,B,MI,,1.50,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²","Bahnhofstraße, entlang der nördlichen St","515.381,058 / 5.443.383,754 (EPSG: 25832)",515381058,5443383754,,25832
9125155,Böckingen,720,01.01.23,B,WA,MFH,1.00,,Fasanenweg,"514.131,950 / 5.443.604,000 (EPSG: 25832)",514131950,5443604000,,25832
9125200,Böckingen,600,01.01.23,B,WR,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Hanselmannstraße/ Welschstraße,"513.516,808 / 5.444.492,565 (EPSG: 25832)",513516808,5444492565,,25832
9102230,Neckargartach,170,01.01.23,B,W,ASB,,,Wohnen außen,"513.307,886 / 5.446.349,070 (EPSG: 25832)",513307886,5446349070,,25832
9125910,Böckingen,115,01.01.23,B,GE,,,Gewerbegebiet,"Böckingen- West, Großgartacher Straße","511.858,400 / 5.443.229,103 (EPSG: 25832)",511858400,5443229103,,25832
9102071,Neckargartach,17,01.01.23,SF,FGA,,,,"Garten/Erholungsfläche, Süd","513.876,815 / 5.445.720,516 (EPSG: 25832)",513876815,5445720516,,25832
9102031,Neckargartach,3.5,01.01.23,SF,PG,,,Grünland mit Bäumen (Streuobst),Private Grünfläche,"513.757,564 / 5.445.086,992 (EPSG: 25832)",513757564,5445086992,,25832
9137074,Frankenbach,16,01.01.23,SF,FGA,,,,"FGA Riedwiesen, Dörnle","513.032,146 / 5.445.430,962 (EPSG: 25832)",513032146,5445430962,,25832
9137033,Frankenbach,3.6,01.01.23,SF,PG,,,,"Baumwiese Riedwiesen, Dörnle","512.912,146 / 5.445.410,962 (EPSG: 25832)",512912146,5445410962,,25832
9137160,Frankenbach,390,01.01.23,B,MI,,1.00,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 400 m², Doppelhaushälften: 200 m², Reihenmittelhäuser: 200 m²","Ortsmitte, Saarbrückener Str./ Leintalst","512.362,740 / 5.445.041,884 (EPSG: 25832)",512362740,5445041884,,25832
9137172,Frankenbach,160,01.01.23,B,W,ASB,,,"W außen Riedwiesen, Dörnle","512.862,146 / 5.445.310,962 (EPSG: 25832)",512862146,5445310962,,25832
9137014,Frankenbach,4,01.01.23,LF,A,,,,"Acker Riedwiesen, Dörnle","512.772,146 / 5.445.250,962 (EPSG: 25832)",512772146,5445250962,,25832
9102021,Neckargartach,1.6,01.01.23,LF,GR,,,,Wiese,"513.755,079 / 5.445.146,618 (EPSG: 25832)",513755079,5445146618,,25832
9102011,Neckargartach,4.1,01.01.23,LF,A,,,,Acker,"513.767,502 / 5.445.201,275 (EPSG: 25832)",513767502,5445201275,,25832
9137023,Frankenbach,1.6,01.01.23,LF,GR,,,,"Wiese Riedwiesen, Dörnle","512.712,146 / 5.445.300,962 (EPSG: 25832)",512712146,5445300962,,25832
9102980,Neckargartach,60,01.01.23,B,G,,,,Gewerbe außen,"513.310,371 / 5.446.416,149 (EPSG: 25832)",513310371,5446416149,,25832
9137902,Frankenbach,60,01.01.23,B,G,ASB,,,G außen,"512.892,146 / 5.445.360,962 (EPSG: 25832)",512892146,5445360962,,25832
9137150,Frankenbach,410,01.01.23,B,WA,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Hipfelhofer Straße/ Leisbrunnenstraße,"512.217,390 / 5.444.840,041 (EPSG: 25832)",512217390,5444840041,,25832
9137140,Frankenbach,470,01.01.23,B,WA,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Kaiserslauterner Straße/ Ödenburger Stra,"512.852,146 / 5.445.130,962 (EPSG: 25832)",512852146,5445130962,,25832
9137130,Frankenbach,400,01.01.23,B,WA,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Schleifweg/ Steinhaldestraße,"512.609,141 / 5.444.768,053 (EPSG: 25832)",512609141,5444768053,,25832
9137032,Frankenbach,3.6,01.01.23,SF,PG,,,,Baumwiese nordöstl. Gebiet mit Höfen,"512.752,146 / 5.445.990,962 (EPSG: 25832)",512752146,5445990962,,25832
9137100,Frankenbach,610,01.01.23,B,WA,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²","Maihalde, Panoramaweg/ Burgundenstraße b","512.721,309 / 5.445.702,227 (EPSG: 25832)",512721309,5445702227,,25832
9137110,Frankenbach,540,01.01.23,B,WA,,0.60,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Neuwiesenstraße,"512.445,074 / 5.445.282,016 (EPSG: 25832)",512445074,5445282016,,25832
